rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
612,CNP0601648.1,CNC[C@@H]1C[C@H](C2=CC(O)=C(O)C(OC[C@@H]3C=CC[C@H](C)C3)=C2)CC(=O)[C@H]([C@H](O)CCC2=CC=C(O)C(OC)=C2)[C@]2(CCC[C@@H]2CC2=CC=CN2)C2=CC=NC(=C2)NC2=CC=C3C=C(O)C=CC3=C21,0.893286406993866,935.17,10.46,8,11,13,189.42,False,False,6
613,CNP0102516.1,CCC[C@@H]([C@@H]1C[C@H](CC2=CC=NC(N)=C2)C[C@@H]2C#C[C@H](C3=CC=CC=C3)C3=CC(O)=C(OC)C=C3CCC(=O)CC(=O)[C@@H]2C1)[C@H](O)CCO,0.8931781649589539,666.86,6.04,4,8,10,142.97,False,False,3
614,CNP0427942.1,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)[C@@H](C)CC)C(=O)NCC(=O)N(C)[C@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)OC,0.8929991126060486,979.19,0.35,7,12,27,287.18,False,False,2
615,CNP0074298.1,COC1=CC2=C(C=C1O)[C@@H](CC[C@H](O)[C@H](CCC(C)C)[C@H](C1=CC=NC(N)=C1)C1=CC=C3C=CC=CC3=C1)C#C[C@@]1(CC[C@H](CC[C@@H]3CN[C@@H]4CC(=O)CC[C@@H]4C3)C[C@H]1O)C(=O)CC2,0.8929536938667297,868.17,9.43,5,9,14,155.0,False,False,4
616,CNP0191924.1,CC[C@H](C)[C@H](NC(=O)[C@H](O)COS(=O)(=O)O)C(=O)N[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2CC[C@@H](O)N(C2=O)[C@@H]([C@@H](C)CC)C(=O)N(C)[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](C(C)C)C(=O)O[C@@H]1C,0.8928663730621338,1041.19,-2.37,12,16,18,398.61,False,False,1
617,CNP0006701.1,CNCNC1=CC([C@H](C/C(C)=C/C[C@@]23O[C@]2(C(=O)OC[C@@H]2C[C@@H]4CCC=CC4=C[C@H]2NCC2CCCCC2)C(=O)C2=CC=CC=C2C3=O)NC(=N)NC)=CC=N1,0.8927615284919739,763.98,5.76,6,10,15,169.86,False,False,2
618,CNP0209963.1,CCC1=CC=C2C=CC=CC2=C1CC1=C(OC)C(O)=CC=C1C[C@H](CC1=CNC=C1)[C@H](O)CC(=O)[C@H](CC1=CC=C(O)C2=C1CSSC[C@](C)(O)CNCO2)C1=CC(O)=CC(C2(NC)CCCCC2)=C1,0.8927345871925354,988.33,10.15,8,12,17,176.53,False,False,6
619,CNP0273288.1,CCC1=CC=C2C=CC=CC2=C1CC1=C(OC)C(O)=CC=C1C[C@H](CC1=CNC=C1)[C@H](O)CC(=O)[C@H](CC1=CC=C(O)C2=C1CSSC[C@](C)(O)CNCO2)C1=CC(O)=CC(C2(NC)CCCC2)=C1,0.8927345871925354,974.3,9.76,8,12,17,176.53,False,False,6
620,CNP0524708.1,CC(C)CC1=CC[C@@]2(C)[C@@H]3C14C=C1C5=C6C=CC=CC6=C[C@@H]1C3(CC[C@@H]2O)C1=C(C4)[C@]2([C@@H]3CC4(CCCC4)[C@@]4(CC[C@H](CC6=CC=CC=C6)C4)C3)C[C@@H](O)[C@H]([C@H](C(=O)O)CC/C(=C\O)[C@H](C3CCCCC3)CCCNC3=CC=C(C=N3)C3=CC=CC(=C3)C5)[C@@]2(C)CC1,0.8926949501037598,1235.79,17.81,5,6,7,122.91,False,True,4
621,CNP0300923.1,CC[C@@H](C)/C=C(C)\C=C/[C@H](O)[C@](C)(O)C(=O)NCC(=O)N[C@@](C)(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]1C(=O)N[C@@H](COC)C(=O)NCC(=O)N[C@@H](C)C(=O)N(C)[C@@H]([C@H](C)O)C(=O)N[C@@H]([C@H](OC)C2=CC=C(O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O)C=C2)C(=O)N2CCCC[C@@H]2C(=O)O[C@@H]1C(C)C)[C@H](C)C(C)(C)C(N)=O)[C@H](C)N)[C@H](C)O,0.8926880359649658,1590.83,-5.03,18,26,29,576.46,False,False,1
622,CNP0300923.2,CC[C@@H](C)C=C(C)C=C[C@H](O)[C@](C)(O)C(=O)NCC(=O)N[C@@](C)(C(=O)NC(C(=O)N[C@H](C(=O)N[C@H]1C(=O)N[C@@H](COC)C(=O)NCC(=O)N[C@@H](C)C(=O)N(C)[C@@H]([C@H](C)O)C(=O)N[C@@H]([C@H](OC)C2=CC=C(O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O)C=C2)C(=O)N2CCCC[C@@H]2C(=O)O[C@@H]1C(C)C)[C@H](C)C(C)(C)C(N)=O)[C@H](C)N)[C@H](C)O,0.8926880359649658,1590.83,-5.03,18,26,29,576.46,False,False,1
