rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
847,CNP0566801.1,CCC(C)C1/N=C(\O)C(C(C)CC(=O)O)/N=C(/O)C(CC(N)=O)/N=C(/O)C/N=C(\O)C(C(OC)C(=O)O)/N=C(\O)C(CCCCN)/N=C(\O)C(CC(=O)O)/N=C(\O)C(C)/N=C(\O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC1=O,0.9430481791496276,1658.78,0.75,21,24,37,730.38,False,False,2
848,CNP0587485.0,CCCCCC(=O)NC(CCC(=O)O)C(=O)NC1C(=O)NC(CCCCN)C(=O)NC2CCC(O)N(C2=O)C(CC(C)C)C(=O)N(C)C(CC2=CC=C(O)C(Cl)=C2)C(=O)NC(C(C)CC)C(=O)OC1C,0.9430419206619264,1007.62,1.76,9,13,20,316.2,False,False,1
849,CNP0513691.1,CC(C)CCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,0.943015992641449,729.87,0.35,8,11,29,258.25,False,False,0
850,CNP0560513.1,CC(C)CCCCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,0.943015992641449,757.93,1.13,8,11,31,258.25,False,False,0
851,CNP0480421.1,CC(C)CCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,0.943015992641449,715.85,-0.04,8,11,28,258.25,False,False,0
852,CNP0598990.1,CC(C)CCCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O,0.943015992641449,743.9,0.74,8,11,30,258.25,False,False,0
853,CNP0528257.1,NC1=NC(Cl)=NC2=C1N=CN2[C@H]1CC[C@@H](CO)O1,0.9429708123207092,269.69,0.73,2,7,2,99.08,True,True,2
854,CNP0274337.0,CC(C)CC1NC(=O)CNC(=O)C(CC(N)=O)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)O)NC(=O)C2CSSCC3NC(=O)C(C(C)O)NC(=O)CNC(=O)CNC(=O)C(C(C)C)NC(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)CN)C(C)O)CSSCC(NC(=O)C(CO)NC(=O)C(CSSCC(C(=O)O)NC(=O)C(C(C)C)NC(=O)C4CCCN4C1=O)NC(=O)CNC(=O)C1CCCN1C(=O)C(C(C)O)NC(=O)C(CC(N)=O)NC3=O)C(=O)NC(CO)C(=O)NC(CC1=CNC3=CC=CC=C13)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)N2,0.9428903460502625,2896.31,-17.04,40,46,31,1174.3,False,False,2
855,CNP0608240.0,COCC12CCC(O)C34C(NC1)C(C(OC)C23)C1(OC(C)=O)C(O)C(OC)C2(O)CC4(O)C1C2OC(=O)C1=CC=CC=C1,0.9428778886795044,603.67,-0.59,5,12,7,173.24,False,False,1
856,CNP0493505.1,C[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@H](CCCN(O)C=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H]2CCNC3=C(NC(=O)CCC(N)=O)C=C4C=C(O)C(O)=CC4=[N+]32)[C@@H](C)OC(=O)[C@@H](CCCCN)NC(=O)[C@H](CCCN(O)C=O)NC(=O)[C@@H](C)NC1=O,0.9428139328956604,1288.36,-5.05,18,22,32,558.08,False,False,2
859,CNP0207928.2,COC(=O)[C@]1(O)C[C@@]23CCCN4CC[C@@]5(C6=CC=CC(OC)=C6N[C@]15CC2)[C@@H]43,0.9427211284637452,384.48,2.05,2,6,2,71.03,True,True,1
860,CNP0207928.1,COC(=O)[C@@]1(O)C[C@@]23CCCN4CC[C@@]5(C6=CC=CC(OC)=C6N[C@]15CC2)[C@@H]43,0.9427211284637452,384.48,2.05,2,6,2,71.03,True,True,1
