rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
72,CNP0478972.1,CC(=O)N[C@@H](CCCNC(=O)C[C@@H](N)CCCN)CC(=O)N[C@@H]1[C@H](O)[C@@H](OC(N)=O)[C@@H](CO)O[C@H]1/N=C1\N[C@@H]2[C@H](O)CNC(=O)[C@H]2N1,0.7886225581169128,672.74,-5.96,12,13,16,327.1,False,False,0
73,CNP0611492.1,CCCCCCCCCCCCCCCC1[C@@H](OC(=O)CC(O)CCCCCCCCCCC)[C@H](O)C(CO[C@@H]2OC(CO[C@]3(C(=O)O)CC(O[C@]4(C(=O)O)CC(O[C@]5(C(=O)O)CC(O)[C@@H](O)C(C(O)CO)O5)[C@@H](O)C(C(O)CO)O4)[C@@H](O[C@@H]4OC(C(O)CO)[C@@H](OP(=O)(O)OP(=O)(O)OCCN)C(O[C@H]5OC(C(O)CO[C@H]6OC[C@](O)(C(O)CO)C(O)[C@H]6O)[C@@H](OP(=O)(O)O)C(O[C@H]6OC(CO[C@H]7OC(CO)[C@H](O)C(O)C7O)[C@@H](O)C(O[C@H]7OC(CO)[C@H](O)C(O)C7O[C@H]7OC(CO)[C@@H](O[C@H]8OC(CO)[C@H](O)C(OC9O[C@@H](C)C(O[C@H]%10OC(CO)[C@@H](O)C(O[C@H]%11OC(C)[C@H](O)CC%11O)C%10O[C@H]%10OC(CO)[C@H](O)C(O)C%10O)C(O)[C@H]9O)C8O)C(O)C7O[C@H]7OC(CO)[C@@H](O)C(O)[C@@H]7NC(C)=O)C6O)[C@H]5O)[C@H]4O)C(C(O)CO)O3)[C@@H](OP(=O)(O)O)C(OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)[C@@H]2NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)O[C@@H]1CP(=O)(O)O,0.7885715365409851,4899.96,-9.98,62,107,150,1888.75,False,False,0
74,CNP0611492.0,CCCCCCCCCCCCCCCC1C(CP(=O)(O)O)OC(COC2OC(COC3(C(=O)O)CC(OC4(C(=O)O)CC(OC5(C(=O)O)CC(O)C(O)C(C(O)CO)O5)C(O)C(C(O)CO)O4)C(OC4OC(C(O)CO)C(OP(=O)(O)OP(=O)(O)OCCN)C(OC5OC(C(O)COC6OCC(O)(C(O)CO)C(O)C6O)C(OP(=O)(O)O)C(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(OC7OC(CO)C(O)C(O)C7OC7OC(CO)C(OC8OC(CO)C(O)C(OC9OC(C)C(OC%10OC(CO)C(O)C(OC%11OC(C)C(O)CC%11O)C%10OC%10OC(CO)C(O)C(O)C%10O)C(O)C9O)C8O)C(O)C7OC7OC(CO)C(O)C(O)C7NC(C)=O)C6O)C5O)C4O)C(C(O)CO)O3)C(OP(=O)(O)O)C(OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)C2NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)C(O)C1OC(=O)CC(O)CCCCCCCCCCC,0.7885715365409851,4899.96,-9.98,62,107,150,1888.75,False,False,0
75,CNP0072890.1,CCC(O[C@H]1CC[C@@H](O[C@H]2CC[C@@H](O[C@H]3C[C@](C)(N)[C@H](O)[C@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)[C@H](C)[C@H](O)[C@@H](C)[C@H](O)[C@H](C)C1OC(=O)/C=C\C=C/C[C@@H](O)C[C@@H](O)CC[C@@H](C)C(O[C@H]2C[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](CO[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O)O2)C2(O)OC(CC(O)C2O)[C@@H](C)C(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)C[C@H](O)C[C@@H](O)C[C@H](O)/C=C\C=C/[C@@H]1C,0.7883283495903015,1918.22,-3.54,24,41,25,664.93,False,False,0
76,CNP0096114.1,C=C(/C=C/C=C(/CO)[C@@H]1CC[C@]2([C@@H]1O)[C@@H]1/C(=C(/C)C=O)[C@@H](C=C[C@H]1CCO)C[C@]2(O)CCNC)[C@@H]1CC2=CC=CC(=C2)C[C@@](C)(CCOC)NCC2=C[C@@H]1CCC2,0.7880297303199768,783.11,6.36,6,8,14,131.28,False,False,1
77,CNP0150368.2,C/C(=C\CCCCCNC(=N)N)C[C@@H](C)[C@H]1OC(=O)[C@H](C)[C@H](O)/C(C)=C/C[C@H](O)[C@H](C)[C@H](O)C[C@H](O)[C@H](C)[C@@H](O)CC[C@@H](C)[C@H](O)C[C@@]2(O)O[C@H](C[C@H](OC(=O)CC(=O)O)C[C@H](O)C[C@@H](O)C[C@H](O)[C@H](C)[C@H](O)/C=C/C=C/[C@H]1C)C[C@@H](O)[C@H]2O,0.7879457473754883,1202.53,2.51,17,20,12,424.02,False,False,0
78,CNP0150368.1,C/C(=C\CCCCCNC(=N)N)C[C@H](C)[C@@H]1OC(=O)[C@H](C)[C@H](O)/C(C)=C/C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)[C@H](C)[C@@H](O)CC[C@H](C)[C@@H](O)C[C@@]2(O)O[C@@H](C[C@H](OC(=O)CC(=O)O)C[C@@H](O)C[C@@H](O)C[C@H](O)[C@@H](C)[C@@H](O)/C=C/C=C/[C@H]1C)C[C@@H](O)[C@H]2O,0.7879457473754883,1202.53,2.51,17,20,12,424.02,False,False,0
79,CNP0475351.1,CCC1=CC2=C(N1)N1CCNC[C@H]1[C@@]1(C[C@@H]3C=CC4=CC=C5C=C6C=CC=CC6=C6CC[C@]3(C1)C4=C65)C1=CC=C(C[C@@H](CO)COC3=C(OC)C(OCC[C@@H](O)/C=C/C4=CC=CC=C4)=C4C(=O)C=C(C5=CC=C(O)C=C5)OC4=C3CCC3=CC2=CC=C3)C(N=C(N)N)=C1,0.7876889705657959,1239.53,13.15,7,11,11,214.05,False,False,10
80,CNP0349886.1,CNC[C@H](CN)C[C@@H](C1=CNC=N1)[C@@H]1NC(=O)[C@H](CO)[C@H]1C[C@@H]1[C@@H](O)[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@](C)(CO)[C@H]2CC[C@]3(C)[C@H](CC=C4[C@@H]5C[C@@](C)(CO)CC[C@]5(C(=O)O)CC[C@]43C)[C@@]12C,0.7876272201538086,944.22,1.64,12,14,15,293.2,False,False,1
81,CNP0064096.1,C=C[C@](C)(CC/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@](C)(C=C)CC/C=C(\CO)C(=O)O[C@H]2C[C@]3(C(=O)O[C@@H]4O[C@H](OC)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O[C@@H]5O[C@@H](CO)[C@H](O)[C@H]5O)[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H](O)C[C@]4(C)C(=CC[C@@H]5[C@@]6(C)CC[C@H](O[C@@H]7O[C@H](CO[C@@H]8O[C@H](C)[C@H](O)[C@H](O)[C@H]8O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@H](O)[C@H]7NC(C)=O)C(C)(C)[C@@H]6CC[C@]54C)[C@H]3CC2(C)C)O[C@@H]1C)O[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@H]1O,0.7874132394790649,2213.42,-5.43,25,49,36,759.66,False,False,0
