rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
923,CNP0107957.2,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@H](C)O)C(=O)N[C@@H]([C@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN)C(=O)O1,0.9441049098968506,1533.78,-5.47,20,24,25,588.87,False,False,1
924,CNP0466684.0,CCCCCC(=O)OC1CC2CC(C(=O)NCCCCN=C(N)N)N(C(=O)C(CC(C)C)NC(=O)C(O)CC3=CC=CC=C3)C2CC1OC1OC(C(=O)O)C(O)C(O)C1O,0.9440844655036926,848.99,-0.56,9,13,21,305.89,False,False,1
925,CNP0325878.1,CC[C@H](C)[C@@H]1NC(=O)[C@H]2[C@@H](CCN2C(=O)[C@H](CC(C)C)N(C)C)OC2=CC=C(OC)C(=C2)/C=C\NC1=O,0.9440328478813172,514.67,2.65,2,6,7,100.21,True,True,1
926,CNP0097780.1,N/C(=N/CCC[C@H](O)CCC1=C[C@]2(C(=O)O)[C@@H](C3=CC(O)=C(O[C@]4(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C3N2C(=O)/C=C/C2=CC=C(O)C(CC3=CN=CN3)=C2)[C@@H]1[C@@]12C3=C(O)C=CC=C3CC[C@H]1CCC[C@@H]2CO)NCC1=CC=CC=C1,0.9440294504165648,1115.25,3.46,14,16,19,357.46,False,False,5
927,CNP0057539.1,C[C@H](O)[C@H](C(=O)O)[C@H](CC1(C2=CC=CC=C2)CCCCC1)[C@H](CCN)CC[C@@H](C/C=C\CCC1CCCCC1)CCC1=CC=CC=C1,0.9439915418624878,644.0,10.28,3,3,20,83.55,False,False,2
928,CNP0593878.1,CCN[C@H]1C=C2C=CC[C@H]3[C@@H]4CCC[C@](C)(CC5=CC=C(N)N=C5)CC5=C6C(=O)[C@]7(O[C@@]7(C/C=C(\C)C[C@]7(C8=CC=NC9=C8CC[C@H](NC)N9)CCCN=C(NC)N7)C(=O)C6=CC=C5)C(=O)OC[C@H]1[C@H](CC4)[C@H]23,0.9439683556556702,990.31,7.7,6,14,10,197.28,False,False,3
929,CNP0543779.1,CNC(=N)NC1=CC=CC(CCCC[C@@H]2C=CC(O)=C[C@H]2C[C@H]2CC(=O)CCC3=CC=C(OC)C(=C3)OCC3=C4C=C[C@@H](C)C5=C4C(=C(C(O)=C5)[C@H](CC4=CC=CC(CCOCC5CCCC5)=C4)C#CO2)C=C3C(O)O)=C1,0.943922996520996,1042.33,12.19,7,10,17,182.82,False,False,5
930,CNP0460187.1,CO[C@@]1(C)C2=C(C[C@](C)(CO)C2)C(=O)[C@@]2(CCC3=C(CCO)C(C)=C4C[C@@](C)(CO)CC4=C3O2)C12CC2,0.9439180493354796,510.67,3.55,3,6,5,96.22,True,True,1
931,CNP0556418.1,NC1=NC2=C3CO[C@@H](CCC[C@@H](CCC4=CC=C(O)C(CC5=CC=CC(O)=C5)=C4)C#CC3=C1)C[C@H](O)[C@@H]1CCC3=C(C=CC(O)=C3OCC3=CC([C@@]45CCOC6(CCCCC6)[C@H]4CCC4=CC=CC=C45)=CC4=CN2C=C34)C1,0.9439004063606262,1030.32,12.41,5,10,6,152.45,False,False,7
932,CNP0563144.1,CCC[C@H](C)C[C@@H]1C[C@@H]2CC3=C(CO)C=C(O)C(=C31)OCC1=CC([C@]34C5=C6C=CC=C5CC[C@H]3C3(CCCCC3)OC[C@H]4CC6)=CC3=CN(C=C13)C1=NC(NCOC)=CC3=C1[C@@H]1C=C[C@@H](CC[C@H](CCC4=CC=C(O)C(CC5=CC=CC(O)=C5)=C4)C#C3)[C@@H](C[C@@H]2O)O1,0.943867564201355,1238.62,15.21,6,12,14,167.92,False,False,7
